Feature,Scaling,Data_Type
Ticker,None,object
Date,None,object
Sector,None,object
Industry,None,object
Open,StandardScaler,float64
High,StandardScaler,float64
Low,StandardScaler,float64
Price,StandardScaler,float64
Vol,StandardScaler,float64
Change%,None,float64
Return_1M,StandardScaler,float64
Return_3M,StandardScaler,float64
Return_6M,StandardScaler,float64
Return_1Y,StandardScaler,float64
Volatility,StandardScaler,float64
RSI_14,MinMaxScaler,float64
SMA_50,StandardScaler,float64
SMA_200,StandardScaler,float64
Price_to_SMA50,MinMaxScaler,float64
Price_to_SMA200,MinMaxScaler,float64
Avg_Volume_3M,StandardScaler,float64
Volume_Trend,StandardScaler,float64
Max_Drawdown,StandardScaler,float64
Sharpe_Ratio,StandardScaler,float64
Market_Cap,StandardScaler,float64
PE_Ratio,MinMaxScaler,float64
EPS,StandardScaler,float64
Revenue_Growth,MinMaxScaler,float64
Profit_Margin,MinMaxScaler,float64
Dividend_Yield,MinMaxScaler,float64
Payout_Ratio,MinMaxScaler,float64
Debt_to_Equity,MinMaxScaler,float64
ROE,MinMaxScaler,float64
