Ticker,Company_Name,Market_Cap,PE_Ratio,EPS,Revenue_Growth,Profit_Margin,Dividend_Yield,Payout_Ratio,Debt_to_Equity,ROE,Sector,Industry
D05.SI,DBS Group Holdings,162877046784,15.026178,3.82,-0.033,0.4945,5.33,0.7461,,0.15875,Financial Services,Banks - Regional
O39.SI,OCBC Bank,95971524608,13.11043,1.63,0.065,0.53208,3.93,0.50310004,,0.12198,Financial Services,Banks - Regional
U11.SI,United Overseas Bank,61552209920,13.52,2.75,-0.018,0.39793,3.82,0.6436,,0.09255999,Financial Services,Banks - Regional
Z74.SI,Singtel,85879693312,14.081081,0.37,0.009,0.47967,2.51,0.3325,41.804,,Communication Services,Telecom Services
C52.SI,ComfortDelGro,3185142016,13.363637,0.11,0.117,0.04553,5.78,0.76839995,61.11,0.09054,Industrials,Railroads
C6L.SI,Singapore Airlines,20815634432,17.368422,0.38,0.019,0.11535,5.3,0.9259,68.227,0.15387,Industrials,Airlines
BN4.SI,Keppel Corporation,22284611584,22.107143,0.56,,0.13373,2.75,0.6115,102.233,0.08948,Industrials,Conglomerates
U96.SI,Sembcorp Industries,10934700032,10.982143,0.56,,0.16968,4.07,0.4109,165.411,0.17701,Utilities,Utilities - Diversified
S63.SI,Singapore Technologies Engineering,34104918016,72.93333,0.15,0.117,0.03748,2.19,1.1557,165.437,0.16886,Industrials,Aerospace & Defense
F34.SI,Wilmar International,23722385408,13.103449,0.29,0.03,0.02004,3.68,0.4759,124.042,0.065630004,Consumer Defensive,Packaged Foods
9CI.SI,CapitaLand Investment,13878474752,92.666664,0.03,-0.246,0.06798,4.32,4.1379,61.735,0.01217,Real Estate,Real Estate Services
J69U.SI,Mapletree Logistics Trust,4582106112,22.5,0.1,0.135,0.44132,8.05,1.1683,54.53,0.044899996,Real Estate,REIT - Retail
ME8U.SI,Mapletree Industrial Trust,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial
M44U.SI,Mapletree Pan Asia Commercial Trust,6184197632,40.333336,0.03,-0.031,0.27069,6.11,2.2846,78.425,0.02684,Real Estate,REIT - Industrial
S68.SI,SGX,20642729984,31.606558,0.61,0.079,0.45676997,2.28,0.64769995,29.888,0.30133,Financial Services,Financial Data & Stock Exchanges
Y92.SI,Thai Beverage,10932283392,10.875,0.04,-0.053,0.07577,5.75,0.6107,108.676,0.14005,Consumer Defensive,Beverages - Wineries & Distilleries
BS6.SI,YZJ Shipbldg SGD,15821068288,9.804878,0.41,0.158,0.303,2.99,0.3041,17.05,0.29443002,Industrials,Aerospace & Defense
G13.SI,Genting Singapore,8218415616,22.666668,0.03,0.054,0.15919,5.88,1.2384,0.031,0.04731,Consumer Cyclical,Resorts & Casinos
H78.SI,Hongkong Land Holdings,17251215360,13.827587,0.58,-0.323,0.87233,3.12,0.3987,19.919,0.04164,Real Estate,Real Estate - Development
V03.SI,Venture Corporation,4590030336,20.189873,0.79,-0.058,0.089549996,4.7,0.953,0.702,0.07998,Technology,Electronic Components
U14.SI,UOL Group,8442507776,17.508772,0.57,0.106,0.14895001,1.8,0.3158,27.901,0.037130002,Real Estate,Real Estate - Development
C09.SI,City Developments,7522442752,12.382353,0.68,0.111,0.17554002,2.97,0.1178,132.321,0.063779995,Real Estate,Real Estate - Development
N2IU.SI,Mapletree North Asia Commercial Trust,7076749312,10.307693,0.13,-0.02,0.77168,5.99,0.6104,61.463,0.07288,Real Estate,REIT - Office
D01.SI,DFI Retail Group,5969599488,25.941175,0.17,0.004,0.02646,3.17,0.6055,799.562,0.53568,Consumer Defensive,Grocery Stores
S58.SI,SATS,5499188224,20.555555,0.18,0.091,0.04259,1.49,0.3039,144.476,0.09986,Industrials,Airports & Air Services
CC3.SI,StarHub,1758758400,25.5,0.04,-0.031,0.03672,5.88,1.3778,278.289,0.13003999,Communication Services,Telecom Services
C07.SI,Jardine Cycle & Carriage,13173226496,10.318886,3.23,-0.089,0.046719998,4.3,0.44439998,39.238,0.12919,Industrials,Conglomerates
C38U.SI,CapitaLand Ascendas REIT,18046191616,18.384617,0.13,0.047,0.57887,4.85,0.8143,62.3,0.059070002,Real Estate,REIT - Retail
A17U.SI,Ascendas Real Estate Investment Trust,11852717056,15.117646,0.17,0.063,0.4954,3.32,0.89419997,73.536,0.07369,Real Estate,REIT - Industrial
J36.SI,Jardine Matheson Holdings,21691086848,19.551723,3.77,-0.074,0.03241,3.19,0.5968,33.215,0.060960002,Industrials,Conglomerates
AWX.SI,AEM Holdings,1289936128,82.0,0.05,-0.157,0.04245,0.32,0.0,3.279,0.034590002,Technology,Semiconductor Equipment & Materials
U10.SI,UOB-Kay Hian,3088176640,12.68,0.25,0.204,0.33113998,3.88,0.4749,69.55,0.10829,Financial Services,Capital Markets
BVA.SI,Frencken Group,1428355840,17.800001,0.01,0.137,0.03845,0.85,0.2791,18.012,0.02849,Healthcare,Medical Instruments & Supplies
QES.SI,Q&M Dental Group,610164992,8.0,0.08,-0.101,0.12354,3.13,0.2617,,0.093660004,Basic Materials,Specialty Chemicals
AIY.SI,iFAST Corporation,2669386752,27.46875,0.32,0.457,0.19431,1.14,0.2313,41.919,0.28024,Technology,Software - Application
1D0.SI,Raffles Medical Group,485516352,13.0,0.03,0.012,0.10325,5.13,0.7491,73.889,0.18847,Consumer Cyclical,Restaurants
QC7.SI,Cordlife Group,529632320,56.0,0.01,0.185,0.04721,1.46,1.1223999,138.767,0.081190005,Healthcare,Medical Care Facilities
5DD.SI,Micro-Mechanics Holdings,268331536,19.3,0.1,0.145,0.19429001,3.11,0.6309,4.297,0.26204002,Technology,Semiconductor Equipment & Materials
A50.SI,Thomson Medical Group,1533581824,,-0.0,0.069,-0.09567001,,0.0,195.534,-0.07532,Healthcare,Medical Care Facilities
546.SI,Medtecs International Corporation Limited,61574968,,-1.14,0.471,-0.06126,,0.0,21.31,-0.04631,Healthcare,Medical Instruments & Supplies
F03.SI,Food Empire Holdings,1764577024,40.125,0.08,0.217,0.05223,2.75,0.8785,30.853,0.09629,Consumer Defensive,Beverages - Non-Alcoholic
P34.SI,Delfi Limited,577543360,13.5,0.07,-0.005,0.06645,4.55,0.4037,6.219,0.12222,Consumer Defensive,Confectioners
1J4.SI,Koufu Group,115646728,28.0,0.01,-0.103,0.06229,,0.0,19.367,0.040939998,Industrials,Aerospace & Defense
5OI.SI,Japan Foods Holding,19973914,,-0.05,-0.152,-0.12401,,0.0,172.475,-0.41544,Consumer Cyclical,Restaurants
42R.SI,Jumbo Group Limited,165375696,27.500002,0.01,-0.004,0.04551,2.73,0.7143,113.949,0.14774,Consumer Cyclical,Restaurants
OV8.SI,Sheng Siong Group Ltd,4014444032,26.7,0.1,0.11,0.0952,2.85,0.6439,29.512,0.26421,Consumer Defensive,Grocery Stores
K71U.SI,Keppel DC REIT,4583455232,8.409091,0.11,0.052,1.1386399,5.64,0.6287,62.54,0.086540006,Real Estate,REIT - Office
T82U.SI,Suntec REIT,4418172416,30.0,0.05,0.165,0.29666,5.61,1.2045,62.067,0.02769,Real Estate,REIT - Diversified
AJBU.SI,Keppel Infrastructure Trust,5646854144,12.157894,0.19,0.503,0.96932,4.48,0.3168,56.505,0.11354,Real Estate,REIT - Office
CMOU.SI,CapitaLand China Trust,196356640,,-0.0,0.049,-0.027139999,1.33,0.0,86.16,-0.0057099997,Real Estate,REIT - Office
C2PU.SI,Parkway Life Real Estate Investment Trust,2636718592,17.565216,0.23,0.059,0.97758,4.37,0.4284,53.718,0.09431,Real Estate,REIT - Healthcare Facilities
E5H.SI,Golden Agri-Resources,3804502016,7.5000005,0.04,0.135,0.0309,3.17,0.19780001,56.73,0.07966,Consumer Defensive,Farm Products
C41.SI,Olam Group,572901312,8.65,0.4,0.135,0.07221,0.58,0.05,38.668,0.16595,Consumer Cyclical,Luxury Goods
U77.SI,Yanlord Land Group,68172008,,-0.01,-0.178,-0.13104,,0.0,7.059,-0.07011,Technology,Software - Application
P8Z.SI,Bumitama Agri Ltd.,2878679040,13.833333,0.12,0.118,0.14047,5.63,0.9177,19.857,0.19885,Consumer Defensive,Farm Products
